Months,Temp,pH_1,pH_2,pH_3,Crop_1,Crop_2,Crop_3,Soil_1,Soil_2,Soil_3,Water_1,Water_2,Water_3
January,23,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,27,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,30,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,33,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,33,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,31,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,31,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,30,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
September,29,7,7.5,7,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,110,90,100
October,29,6,5,5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,170,120,30
November,26,6.5,6,6.5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,205,140,55
December,25,7.5,7,8,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,240,160,80
January,25,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,26,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,29,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,30,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,32,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,31,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,31,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,30,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
September,29,7,7.5,7,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,110,90,100
October,28,6,5,5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,170,120,30
November,26,6.5,6,6.5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,205,140,55
December,25,7.5,7,8,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,240,160,80
January,25,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,27,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,30,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,32,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,32,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,31,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,31,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,30,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
September,30,7,7.5,7,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,110,90,100
October,28,6,5,5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,170,120,30
November,27,6.5,6,6.5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,205,140,55
December,27,7.5,7,8,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,240,160,80
January,26,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,27,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,30,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,33,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,33,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,32,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,31,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,30,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
September,29,7,7.5,7,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,110,90,100
October,29,6,5,5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,170,120,30
November,27,6.5,6,6.5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,205,140,55
December,25,7.5,7,8,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,240,160,80
January,25,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,27,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,29,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,32,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,31,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,32,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,32,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,31,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
September,31,7,7.5,7,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,110,90,100
October,29,6,5,5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,170,120,30
November,26,6.5,6,6.5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,205,140,55
December,25,7.5,7,8,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,240,160,80
January,26,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,27,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,30,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,31,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,31,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,31,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,32,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,31,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
September,31,7,7.5,7,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,110,90,100
October,28,6,5,5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,170,120,30
November,26,6.5,6,6.5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,205,140,55
December,26,7.5,7,8,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,240,160,80
January,26,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,28,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,30,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,34,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,32,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,31,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,30,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,31,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
September,31,7,7.5,7,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,110,90,100
October,30,6,5,5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,170,120,30
November,28,6.5,6,6.5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,205,140,55
December,26,7.5,7,8,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,240,160,80
January,26,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,27,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,30,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,33,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,33,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,32,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,32,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,30,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
September,29,7,7.5,7,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,110,90,100
October,29,6,5,5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,170,120,30
November,27,6.5,6,6.5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,205,140,55
December,26,7.5,7,8,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,240,160,80
January,25,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,27,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,29,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,32,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,31,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,32,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,31,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,31,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
September,31,7,7.5,7,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,110,90,100
October,28,6,5,5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,170,120,30
November,27,6.5,6,6.5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,205,140,55
December,26,7.5,7,8,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,240,160,80
January,25,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,28,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,31,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,33,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,34,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,33,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,32,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,31,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
September,30,7,7.5,7,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,110,90,100
October,28,6,5,5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,170,120,30
November,28,6.5,6,6.5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,205,140,55
December,26,7.5,7,8,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,240,160,80
January,26,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,28,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,30,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,33,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,33,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,32,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,30,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,30,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
September,29,7,7.5,7,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,110,90,100
October,29,6,5,5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,170,120,30
November,27,6.5,6,6.5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,205,140,55
December,25,7.5,7,8,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,240,160,80
January,26,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,27,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,29,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,32,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,32,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,31,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,30,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,30,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
September,30,7,7.5,7,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,110,90,100
October,28,6,5,5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,170,120,30
November,26,6.5,6,6.5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,205,140,55
December,26,7.5,7,8,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,240,160,80
January,26,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,27,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,29,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,31,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,31,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,30,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,30,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,29,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
September,29,7,7.5,7,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,110,90,100
October,28,6,5,5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,170,120,30
November,26,6.5,6,6.5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,205,140,55
December,26,7.5,7,8,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,240,160,80
January,25,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,26,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,29,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,31,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,31,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,32,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,31,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,31,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
September,30,7,7.5,7,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,110,90,100
October,29,6,5,5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,170,120,30
November,27,6.5,6,6.5,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,205,140,55
December,27,7.5,7,8,Sugar Cane,Turmeric,Ragi,Loamy,Loamy,Red,240,160,80
January,27,5.5,6,6,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,180,50,40
February,28,6,6.5,6.5,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,210,70,55
March,30,6.5,7.5,7,Rice,Groundnut,Sesame,Clayey,Sandy,Loamy,240,90,70
April,33,6,6,6,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,30,60,30
May,32,7,7.5,6.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,45,80,45
June,31,7.5,7.5,7.5,Green Gram,Sunflower,Black Gram,Sandy,Clayey,Loamy,60,100,60
July,31,5.5,6,6,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,70,50,70
August,30,6.5,7,6.5,Maize,Soy Bean,Cotton,Loamy,Loamy,Black,90,70,85
